GroundTruth,Parsed Value,Prompt,Response,Error
16,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(106114, 147834), (106114, 93889), (126347, 93889), (136978, 93889), (156950, 153021), (156950, 93889), (110379, 159073), (110379, 157895), (110379, 147834), (110379, 119987), (110379, 103795), (110379, 93889), (106288, 93889), (134195, 93889), (119987, 147834), (119987, 93889), (153021, 93889), (93889, 159073), (93889, 157895), (93889, 102258), (93889, 103795), (93889, 106599), (93889, 152940), (93889, 147834), (93889, 141405), (93889, 165240), (93889, 122841), (93889, 46425), (157895, 103795), (157895, 46425), (46425, 103795), (159073, 106599), (103795, 147834)]
Node to Label Mapping : 
Node 106114: Label 24| Node 126347: Label 16| Node 136978: Label ?| Node 156950: Label 24| Node 110379: Label 16| Node 106288: Label 16| Node 134195: Label 24| Node 119987: Label 16| Node 153021: Label 16| Node 93889: Label 16| Node 157895: Label 16| Node 46425: Label 5| Node 122841: Label 24| Node 141405: Label 24| Node 159073: Label 1| Node 106599: Label 16| Node 152940: Label 16| Node 102258: Label 24| Node 103795: Label 16| Node 165240: Label 24| Node 147834: Label 16| ```
                                ""","""Label of Node = 16""",
2,2,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(113091, 140317), (45415, 140317), (57487, 140317), (39480, 140317), (140317, 111519)]
Node to Label Mapping : 
Node 113091: Label 36| Node 45415: Label 36| Node 57487: Label 2| Node 39480: Label 2| Node 140317: Label 2| Node 111519: Label ?| ```
                                ""","""Label of Node = 2""",
28,10,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(158465, 123023), (158465, 56595), (115433, 56595), (123023, 56595), (138895, 56595), (168050, 56595), (56595, 44349), (56595, 110012)]
Node to Label Mapping : 
Node 158465: Label 10| Node 115433: Label 27| Node 123023: Label 10| Node 138895: Label 24| Node 168050: Label 24| Node 56595: Label 10| Node 110012: Label ?| Node 44349: Label 10| ```
                                ""","""Label of Node = 10""",
10,10,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(11145, 152335), (11145, 50631), (50631, 152335)]
Node to Label Mapping : 
Node 11145: Label 10| Node 50631: Label 10| Node 152335: Label ?| ```
                                ""","""Label of Node = 10""",
36,36,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(56115, 154475), (154475, 122535), (154475, 26247)]
Node to Label Mapping : 
Node 56115: Label 36| Node 154475: Label 36| Node 122535: Label ?| Node 26247: Label 36| ```
                                ""","""Label of Node = 36""",
24,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(13633, 165430), (101610, 165430)]
Node to Label Mapping : 
Node 13633: Label 34| Node 101610: Label ?| Node 165430: Label 24| ```
                                ""","""Label of Node = -1""",
34,-1,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(74760, 118576), (74760, 149294), (139274, 149294), (139274, 155813), (139274, 78736), (139274, 125101), (50704, 149656), (50704, 149294), (127505, 149294), (47640, 149294), (75803, 149294), (140325, 149294), (140325, 155813), (75817, 149294), (75817, 28235), (74283, 118576), (74283, 149294), (119346, 149294), (60468, 74501), (60468, 118576), (60468, 149294), (57910, 6820), (57910, 41537), (57910, 97943), (57910, 93536), (57910, 149294), (57910, 13999), (57910, 51379), (79927, 118576), (79927, 149294), (79927, 51603), (41537, 63889), (41537, 149294), (41537, 155813), (122947, 146532), (122947, 149294), (122947, 138858), (87621, 149294), (28235, 149294), (28235, 155813), (51791, 127135), (51791, 149294), (19024, 83452), (19024, 149294), (83028, 74501), (83028, 6820), (83028, 1751), (83028, 52679), (83028, 149656), (83028, 149294), (83028, 155813), (83028, 75544), (73304, 93536), (73304, 149294), (147034, 149294), (147034, 41268), (147034, 136468), (147034, 95600), (35419, 118576), (35419, 149294), (35419, 155813), (35419, 72682), (119390, 149294), (146532, 98032), (146532, 149294), (146532, 51603), (146532, 35598), (146532, 138858), (64616, 64220), (64616, 86872), (64616, 149294), (64616, 72682), (138858, 141757), (138858, 149294), (7792, 149294), (87664, 149294), (87664, 155813), (104057, 149294), (104057, 155813), (13440, 97943), (13440, 149294), (94336, 149294), (11916, 141757), (11916, 13999), (11916, 149294), (109716, 149294), (4246, 86872), (4246, 13999), (4246, 149294), (97943, 141757), (97943, 118576), (97943, 149294), (97943, 80056), (97943, 93536), (97943, 13999), (149656, 50444), (149656, 137624), (149656, 51867), (149656, 112624), (149656, 127135), (149656, 35253), (149656, 149294), (149656, 72682), (65178, 93536), (65178, 149294), (65178, 155813), (65178, 33652), (65178, 45839), (51867, 50444), (51867, 127135), (51867, 149294), (51867, 155813), (51867, 6820), (51867, 35253), (110750, 149294), (127135, 149294), (127135, 70543), (127135, 12004), (127135, 6820), (127135, 73517), (127135, 35253), (135839, 149294), (6820, 137624), (6820, 12004), (6820, 35253), (6820, 118576), (6820, 93536), (6820, 13999), (6820, 149294), (6820, 155813), (6820, 72682), (155813, 109817), (155813, 137624), (155813, 74501), (155813, 141757), (155813, 63889), (155813, 2927), (155813, 12004), (155813, 78736), (155813, 35253), (155813, 86872), (155813, 52679), (155813, 13999), (155813, 149294), (155813, 72682), (155813, 34207), (155813, 81918), (155813, 75544), (45738, 98032), (45738, 149294), (9901, 149294), (125101, 149294), (13999, 2943), (13999, 1751), (13999, 13806), (13999, 141757), (13999, 35253), (13999, 118576), (13999, 93536), (13999, 149294), (13999, 101571), (13999, 72682), (13999, 55554), (51379, 93536), (51379, 149294), (80056, 93536), (80056, 149294), (133309, 93536), (133309, 149294), (101571, 35253), (101571, 149294), (101571, 72682), (101571, 55554), (102089, 149294), (102089, 78579), (31947, 149294), (31947, 72682), (31947, 55554), (31947, 4389), (62671, 149294), (62671, 20955), (1751, 118576), (1751, 149294), (1751, 72682), (144090, 149294), (64220, 86872), (64220, 149294), (92382, 149294), (40160, 74501), (40160, 149294), (12004, 98032), (12004, 141757), (12004, 35253), (12004, 118576), (12004, 149294), (98032, 141757), (98032, 149294), (78579, 149294), (111347, 149294), (111347, 95600), (109817, 149294), (55554, 118576), (55554, 149294), (74501, 149294), (147210, 149294), (50444, 149294), (50444, 72682), (35598, 141757), (35598, 118576), (35598, 149294), (35598, 72682), (45839, 135460), (45839, 149294), (136468, 149294), (75544, 144739), (75544, 118576), (75544, 149294), (144152, 149294), (111387, 149294), (39708, 149294), (135460, 149294), (135460, 33652), (4389, 141757), (4389, 118576), (4389, 149294), (135467, 149294), (73517, 112624), (73517, 149294), (149294, 22501), (149294, 6513), (149294, 137624), (149294, 83452), (149294, 41268), (149294, 24011), (149294, 112624), (149294, 141757), (149294, 70543), (149294, 63889), (149294, 34701), (149294, 2927), (149294, 32086), (149294, 2943), (149294, 95600), (149294, 58739), (149294, 38785), (149294, 144739), (149294, 16364), (149294, 17800), (149294, 78736), (149294, 33652), (149294, 135611), (149294, 13806), (149294, 114572), (149294, 147794), (149294, 35253), (149294, 108012), (149294, 118576), (149294, 86872), (149294, 52679), (149294, 93536), (149294, 77757), (149294, 154489), (149294, 20859), (149294, 81745), (149294, 72682), (149294, 20955), (149294, 34207), (149294, 51603), (149294, 81918), (149294, 51621), (149294, 22445), (149294, 26420), (149294, 75618), (118576, 63889), (118576, 2943), (118576, 17800), (118576, 13806), (118576, 114572), (118576, 52679), (118576, 93536), (118576, 51603), (41268, 24011), (32086, 72682), (93536, 63889), (93536, 17800), (93536, 13806), (93536, 141757), (93536, 51603), (144739, 13806), (63889, 141757), (63889, 72682), (34207, 72682), (22445, 72682), (35253, 22501), (35253, 72682), (135611, 141757), (77757, 141757), (52679, 72682)]
Node to Label Mapping : 
Node 74760: Label 34| Node 139274: Label 24| Node 50704: Label 34| Node 127505: Label 24| Node 47640: Label 24| Node 75803: Label 7| Node 140325: Label 24| Node 75817: Label 28| Node 74283: Label 5| Node 119346: Label 16| Node 60468: Label 5| Node 57910: Label 34| Node 79927: Label 34| Node 41537: Label 10| Node 122947: Label 34| Node 87621: Label 24| Node 28235: Label 0| Node 51791: Label 24| Node 19024: Label 34| Node 83028: Label 24| Node 73304: Label 20| Node 147034: Label 28| Node 35419: Label 34| Node 119390: Label 0| Node 146532: Label 34| Node 64616: Label 28| Node 138858: Label 34| Node 7792: Label 24| Node 87664: Label 24| Node 104057: Label 24| Node 13440: Label 34| Node 94336: Label 0| Node 11916: Label 37| Node 109716: Label 24| Node 4246: Label 28| Node 97943: Label 34| Node 149656: Label 10| Node 65178: Label 9| Node 51867: Label 24| Node 110750: Label 24| Node 127135: Label 24| Node 135839: Label 24| Node 6820: Label 24| Node 155813: Label 34| Node 45738: Label 34| Node 9901: Label 24| Node 125101: Label 24| Node 13999: Label 34| Node 51379: Label 34| Node 80056: Label 24| Node 133309: Label 34| Node 101571: Label 34| Node 102089: Label 24| Node 31947: Label 34| Node 62671: Label 18| Node 1751: Label 24| Node 144090: Label 34| Node 64220: Label 28| Node 92382: Label 34| Node 40160: Label 34| Node 12004: Label 34| Node 98032: Label 34| Node 78579: Label 37| Node 111347: Label 16| Node 109817: Label 0| Node 55554: Label 34| Node 74501: Label 32| Node 147210: Label 28| Node 50444: Label 24| Node 35598: Label 34| Node 45839: Label 34| Node 136468: Label 16| Node 75544: Label 24| Node 144152: Label 24| Node 111387: Label 0| Node 39708: Label 16| Node 135460: Label 34| Node 4389: Label ?| Node 135467: Label 24| Node 73517: Label 24| Node 149294: Label 34| Node 118576: Label 34| Node 26420: Label 24| Node 41268: Label 28| Node 81745: Label 34| Node 147794: Label 34| Node 32086: Label 24| Node 86872: Label 26| Node 93536: Label 34| Node 75618: Label 24| Node 144739: Label 0| Node 2927: Label 5| Node 95600: Label 16| Node 6513: Label 28| Node 58739: Label 24| Node 33652: Label 34| Node 154489: Label 34| Node 20859: Label 34| Node 2943: Label 0| Node 38785: Label 13| Node 17800: Label 34| Node 114572: Label 34| Node 34701: Label 14| Node 70543: Label 24| Node 78736: Label 24| Node 63889: Label 20| Node 51603: Label 34| Node 137624: Label 24| Node 34207: Label 24| Node 51621: Label 34| Node 22445: Label 26| Node 35253: Label 24| Node 135611: Label 5| Node 77757: Label 34| Node 141757: Label 34| Node 52679: Label 24| Node 24011: Label 0| Node 20955: Label 18| Node 22501: Label 0| Node 72682: Label 34| Node 16364: Label 28| Node 108012: Label 4| Node 13806: Label 0| Node 112624: Label 24| Node 83452: Label 0| Node 81918: Label 24| ```
                                ""","""Label of Node = -1""",
24,16,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(155043, 111536), (147812, 111536), (147812, 162972), (147812, 85628), (131144, 111536), (140458, 162972), (140458, 111536), (140458, 85628), (53131, 111536), (111536, 162972), (111536, 12155), (111536, 55060), (111536, 85628), (111536, 42333), (111536, 8951)]
Node to Label Mapping : 
Node 155043: Label 16| Node 147812: Label 24| Node 131144: Label ?| Node 140458: Label 24| Node 53131: Label 16| Node 111536: Label 27| Node 162972: Label 24| Node 55060: Label 16| Node 8951: Label 24| Node 12155: Label 27| Node 85628: Label 27| Node 42333: Label 27| ```
                                ""","""Label of Node = 16""",
20,20,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(81121, 148394), (148394, 94274)]
Node to Label Mapping : 
Node 81121: Label ?| Node 148394: Label 20| Node 94274: Label 20| ```
                                ""","""Label of Node = 20""",
24,24,"""
                                Task : Node Label Prediction (Predict the label of the node marked with a ?, given the edge connectivity information and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
                                ```Edge list: [(37058, 81113), (85674, 81113), (91595, 81113), (151148, 81113), (85721, 81113), (129975, 162490), (129975, 81113), (81113, 111966), (81113, 162490)]
Node to Label Mapping : 
Node 37058: Label 16| Node 85674: Label 24| Node 91595: Label ?| Node 151148: Label 24| Node 85721: Label 10| Node 129975: Label 24| Node 81113: Label 24| Node 162490: Label 24| Node 111966: Label 10| ```
                                ""","""Label of Node = 24""",
